Element,Symbol,Atomic mass (u),Mass (kg),Compton f (Hz),φ²-corrected f (Hz),Reduction factor vs standard
Hydrogen,H,1.00784,1.673557692882144e-27,2.2700010856248896e+23,8.670632602095475e+22,2.6180339887498945
Helium,He,4.002602,6.646476989051294e-27,9.015231470594892e+23,3.4435120053195505e+23,2.618033988749895
Iron,Fe,55.845,9.2732804174277e-26,1.2578207912637122e+25,4.804447905064512e+24,2.618033988749895
Gold,Au,196.966569,3.270706826386645e-25,4.436362175164805e+25,1.6945395645085406e+25,2.618033988749895
